description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
ADD ITEM STAT - Gloves & 3 Jewel Magic & Sol = Gloves & Red dmg +1	1				100					5	glov,any	jew,mag,qty=3	r12					useitem		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Shael = Gloves & Fhr +5%	1				100					5	glov,any	jew,mag,qty=3	r13					useitem		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Dol = Gloves & Regenerate-hp +2	1				100					5	glov,any	jew,mag,qty=3	r14					useitem		100		regen	100		2	2	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Gloves & Io & Lum & Ko & Fal-Rune = Gloves & All-stats +5	1				100					5	glov,any	r16	r17	r18	r19			useitem		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Lem = Gloves & Extra gold +8%	1				100					5	glov,any	jew,mag,qty=3	r20					useitem		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Mal = Gloves & Reduce magic dmg +1	1				100					5	glov,any	jew,mag,qty=3	r23					useitem		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Ist = Gloves & MF +15%	1				100					5	glov,any	jew,mag,qty=3	r24					useitem		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Sur = Gloves & Mana +4%	1				100					5	glov,any	jew,mag,qty=3	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Gloves & 3 Jewel Magic & Jah = Gloves & Hp +4%	1				100					5	glov,any	jew,mag,qty=3	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Helm & Topaz = Helm & MF +3%	1				100					2	helm,any	gmt						useitem		100		mag%	100		3	3	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Helm & Ruby = Helm & Hp +5	1				100					2	helm,any	gmr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Helm & Sapphire = Helm & Mana +4	1				100					2	helm,any	gms						useitem		100		mana	100		4	4	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Helm & Emerald = Helm & Dexterity +5	1				100					2	helm,any	gme						useitem		100		dex	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Helm & Skull = Helm & Regenerate-hp +1 & Regenerate-mana +5	1				100					2	helm,any	gmk						useitem		100		regen	100		1	1	levelreq	100		9	9	regen-mana	100		5	5																																																																					0
ADD ITEM STAT - Helm & Amethyst = Helm & Strength	1				100					2	helm,any	gmm						useitem		100		str	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Tir-Rune = Helm & Mana-kill +1	1				100					5	helm,any	jew,mag,qty=3	r03					useitem		100		mana-kill	100		1	1	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Nef = Helm & Defense +8	1				100					5	helm,any	jew,mag,qty=3	r04					useitem		100		ac	100		8	8	levelreq	100		3	3																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Eth = Helm & Regenerate-mana +5	1				100					5	helm,any	jew,mag,qty=3	r05					useitem		100		regen-mana	100		5	5	levelreq	100		4	4																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Ith = Helm & Dmg-to-mana +3					100					5	helm,any	jew,mag,qty=3	r06					useitem		100		dmg-to-mana	100		3	3	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Helm & Tal & Ral & Ort & Thul-Rune = Helm & Resist-all +10	1				100					5	helm,any	r07	r08	r09	r10			useitem		100		res-all	100		10	10	levelreq	100		20	20																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Amn = Helm & Dmg to attacker +10	1				100					5	helm,any	jew,mag,qty=3	r11					useitem		100		thorns	100		10	10	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Sol = Helm & Red dmg +1	1				100					5	helm,any	jew,mag,qty=3	r12					useitem		100		red-dmg	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Shael = Helm & Fhr +5%	1				100					5	helm,any	jew,mag,qty=3	r13					useitem		100		balance1	100		5	5	levelreq	100		10	10																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Dol = Helm & Regenerate-hp +2	1				100					5	helm,any	jew,mag,qty=3	r14					useitem		100		regen	100		2	2	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Helm & Io & Lum & Ko & Fal-Rune = Helm & All-stats +5	1				100					5	helm,any	r16	r17	r18	r19			useitem		100		all-stats	100		5	5	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Lem = Helm & Extra gold +8%	1				100					5	helm,any	jew,mag,qty=3	r20					useitem		100		gold%	100		8	8	levelreq	100		6	6																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Mal = Helm & Reduce magic dmg +1	1				100					5	helm,any	jew,mag,qty=3	r23					useitem		100		red-mag	100		1	1	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Ist = Helm & MF +15%	1				100					5	helm,any	jew,mag,qty=3	r24					useitem		100		mag%	100		15	15	levelreq	100		15	15																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Sur = Helm & Mana +4%	1				100					5	helm,any	jew,mag,qty=3	r29					useitem		100		mana%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Helm & 3 Jewel Magic & Jah = Helm & Hp +4%	1				100					5	helm,any	jew,mag,qty=3	r31					useitem		100		hp%	100		4	4	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Ring & Topaz = Ring & MF +3%	1				100					2	rin,any	gmt						useitem		100		mag%	100		3	3	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Ring & Ruby = Ring & Hp +5	1				100					2	rin,any	gmr						useitem		100		hp	100		5	5	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Ring & Sapphire = Ring & Mana +4	1				100					2	rin,any	gms						useitem		100		mana	100		8	8	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Ring & Emerald = Ring & Dexterity +5	1				100					2	rin,any	gme						useitem		100		dex	100		5	5	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Ring & Skull = Ring & Attacker-takes-dmg +4	1				100					2	rin,any	gmk						useitem		100		thorns	100		4	4	levelreq	100		2	2																																																																										0
ADD ITEM STAT - Ring & Amethyst = Ring & Strength +5	1				100					2	rin,any	gmm						useitem		100		str	100		5	5	levelreq	100		8	8																																																																										0
ADD ITEM STAT - Ring & Diamond = Ring & Resist-all +3	1				100					2	rin,any	gmd						useitem		100		res-all	100		3	3	levelreq	100		9	9																																																																										0
ADD ITEM STAT - Ring & 3 Jewel Magic & Zod = Ring & Level requirements -10	1				100					5	rin,any	jew,mag,qty=3	r33					useitem		100		levelreq	100		-10	-10																																																																															0
ADD ITEM STAT - Shield & Topaz = Shield & Lightning resist +12	1				100					2	shld,any	gmt						useitem		100		res-ltng	100		12	12	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Shield & Ruby = Shield & Fire resist +12	1				100					2	shld,any	gmr						useitem		100		res-fire	100		12	12	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Shield & Sapphire = Shield & Cold resist +12	1				100					2	shld,any	gms						useitem		100		res-cold	100		12	12	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Shield & Emerald = Shield & Poison resist +12	1				100					2	shld,any	gme						useitem		100		res-pois	100		12	12	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Shield & Skull = Shield & Attacker-takes-dmg +20	1				100					2	shld,any	gmk						useitem		100		thorns	100		20	20	levelreq	100		9	9																																																																										0
ADD ITEM STAT - Shield & Amethyst = Shield & Increased-block +5%	1				100					2	shld,any	gmm						useitem		100		block	100		5	5	levelreq	100		12	12																																																																										0
ADD ITEM STAT - Shield & Diamond = Shield & Resist-all +10	1				100					3	shld,any	gmd,qty=2						useitem		100		res-all	100		10	10	levelreq	100		15	15																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Zod = Shield & Level requirements -10	1				100					5	shld,any	jew,mag,qty=3	r33					useitem		100		levelreq	100		-10	-10																																																																															0
ADD ITEM STAT - Shield & 3 Jewel Magic & El = Shield & Light +1	1				100					5	shld,any	jew,mag,qty=3	r01					useitem		100		light	100		1	1	levelreq	100		1	1																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Eld = Shield & Increased-block +5%	1				100					5	shld,any	jew,mag,qty=3	r02					useitem		100		block	100		5	5	levelreq	100		7	7																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Tir-Rune = Shield & Mana-kill +1	1				100					5	shld,any	jew,mag,qty=3	r03					useitem		100		mana-kill	100		1	1	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Nef = Shield & Defense +20	1				100					5	shld,any	jew,mag,qty=3	r04					useitem		100		ac	100		20	20	levelreq	100		6	6																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Eth = Shield & Mana regen +10	1				100					5	shld,any	jew,mag,qty=3	r05					useitem		100		regen-mana	100		10	10	levelreq	100		6	6																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Ith = Shield & Dmg-to-mana +8					100					5	shld,any	jew,mag,qty=3	r06					useitem		100		dmg-to-mana	100		8	8	levelreq	100		4	4																																																																										0
ADD ITEM STAT - Shield & Tal & Ral & Ort & Thul-Rune = Shield & Resist-all +30	1				100					5	shld,any	r07	r08	r09	r10			useitem		100		res-all	100		30	30	levelreq	100		20	20																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Amn = Shield & Dmg to attacker +20	1				100					5	shld,any	jew,mag,qty=3	r11					useitem		100		thorns	100		20	20	levelreq	100		5	5																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Sol = Shield & Reduce damage +10	1				100					5	shld,any	jew,mag,qty=3	r12					useitem		100		red-dmg	100		10	10	levelreq	100		6	6																																																																										0
ADD ITEM STAT - Shield & 3 Jewel Magic & Shael = Shield & Fbr +10	1				100					5	shld,any	jew,mag,qty=3	r13					useitem		100		block1	100		10	10	levelreq	100		10	10																																																																										0
